Station Code,Station Name,Interchanges/Connections,District/City,State/Territory,Latitude,Longitude
SB1,Sunway-Setia Jaya,2 Tanjung Malim-Port Klang Line (Setia Jaya),Petaling Jaya,Selangor,3.0828,101.6123
SB2,Mentari,,Petaling Jaya,Selangor,3.076086,101.610318
SB3,Sunway Lagoon,,Subang Jaya,Selangor,3.0706981,101.6108203
SB4,SunMed,,Subang Jaya,Selangor,3.0656,101.6087
SB5,SunU-Monash,,Subang Jaya,Selangor,3.0659229,101.6010735
SB6,South Quay-USJ 1,,Subang Jaya,Selangor,3.0617,101.5969
SB7,USJ 7,5 Kelana Jaya Line,Subang Jaya,Selangor,3.0544345,101.5921878
